ID,rel_date,actions,rewards,exp_group,exp_phase
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,7,2,1,experimental,basal
217,7,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,8,2,1,experimental,basal
217,8,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,2,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
